암호화요양기호,요양기관명,검색코드,검색코드명
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzIxIyQxIyQxIyQ4OSQzNjEyMjIjNDEjJDEjJDgjJDgz,제이드약국,99,소아야간진료(20시 이후)
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkMzgxMTkxIzExIyQxIyQzIyQ2MiQzNjEyMjIjNDEjJDEjJDQjJDgz,재단법인 자생의료재단 해운대자생한방병원,53,한방척추질환
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkMzgxMTkxIzExIyQxIyQzIyQ3MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,대연더존한방병원,99,소아야간진료(20시 이후)
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzMxIyQxIyQzIyQ4OSQyNjEyMjIjNTEjJDEjJDIjJDgz,광혜한의원,99,소아야간진료(20시 이후)
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQxIyQ3IyQ4MiQyNjEyMjIjODEjJDEjJDYjJDgz,몸편안한의원,99,소아야간진료(20시 이후)
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ5IyQ5MiQ0NjEwMDIjNTEjJDEjJDIjJDgz,하늘마음한의원,99,소아야간진료(20시 이후)
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzMxIyQxIyQzIyQ3MiQyNjEwMDIjODEjJDEjJDYjJDgz,바른몸청담한의원,99,소아야간진료(20시 이후)
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzExIyQxIyQzIyQ3MiQyNjE0ODEjNjEjJDEjJDAjJDgz,빙빙한의원,99,소아야간진료(20시 이후)
JDQ4MTAxMiM1MSMkMSMkMCMkNjIkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjE4MzIjNDEjJDEjJDgjJDgz,우리들40플란트치과병원,17,측두하악관절 자극요법
JDQ4MTAxMiM1MSMkMSMkMCMkNjIkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE4MzIjNjEjJDEjJDQjJDgz,굿윌치과병원,17,측두하악관절 자극요법
JDQ4MTAxMiM1MSMkMSMkMCMkNjIkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE4MzIjNjEjJDEjJDQjJDgz,굿윌치과병원,99,소아야간진료(20시 이후)
JDQ4MTAxMiM1MSMkMSMkMCMkNjIkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjODEjJDEjJDYjJDgz,미주치과병원,17,측두하악관절 자극요법
JDQ4MTAxMiM1MSMkMSMkMCMkNjIkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjEwMDIjODEjJDEjJDYjJDgz,굿윌치과병원,17,측두하악관절 자극요법
JDQ4MTAxMiM1MSMkMSMkMCMkNjIkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjEyMjIjNDEjJDEjJDgjJDgz,엘리트치과병원,17,측두하악관절 자극요법
JDQ4MTAxMiM1MSMkMSMkMCMkNjIkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjE0ODEjODEjJDEjJDIjJDgz,성분도치과병원,17,측두하악관절 자극요법
JDQ4MTAxMiM1MSMkMSMkMCMkNjIkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEyMjIjNjEjJDEjJDAjJDgz,하나인치과병원,17,측두하악관절 자극요법
JDQ4MTAxMiM1MSMkMSMkMCMkNjIkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNDEjJDEjJDgjJDgz,굿윌치과병원,17,측두하악관절 자극요법
JDQ4MTAxMiM1MSMkMSMkMCMkNjIkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjE0ODEjNjEjJDEjJDQjJDgz,유앤아이치과병원,17,측두하악관절 자극요법
JDQ4MTAxMiM1MSMkMSMkMCMkNjIkMzgxMzUxIzExIyQyIyQzIyQwMCQ0NjEwMDIjNTEjJDEjJDYjJDgz,이앤미우리들치과병원,17,측두하악관절 자극요법
JDQ4MTAxMiM1MSMkMSMkMCMkNjIkMzgxMzUxIzExIyQyIyQzIyQwMCQ0NjEwMDIjNTEjJDEjJDYjJDgz,이앤미우리들치과병원,99,소아야간진료(20시 이후)
JDQ4MTAxMiM1MSMkMSMkMCMkNjIkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjEwMDIjODEjJDEjJDIjJDgz,바른윤곽치과병원,17,측두하악관절 자극요법
JDQ4MTAxMiM1MSMkMSMkMCMkNjIkMzgxMzUxIzExIyQyIyQzIyQwMCQzNjE0ODEjNTEjJDEjJDIjJDgz,동래로덴치과병원,17,측두하악관절 자극요법
JDQ4MTAxMiM1MSMkMSMkMCMkNjIkMzgxMzUxIzExIyQyIyQzIyQwMCQzNjEwMDIjNDEjJDEjJDgjJDgz,시에스치과병원,17,측두하악관절 자극요법
JDQ4MTAxMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzExIyQxIyQ3IyQ2MiQyNjE4MzIjNTEjJDEjJDYjJDgz,닥터조이치과의원,17,측두하악관절 자극요법
JDQ4MTAxMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzExIyQxIyQ3IyQ2MiQyNjEwMDIjNzEjJDEjJDgjJDgz,흰치과의원,17,측두하악관절 자극요법
JDQ4MTAxMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzExIyQxIyQ3IyQ2MiQzNjE0ODEjNDEjJDEjJDgjJDgz,동래손치과의원,17,측두하악관절 자극요법
JDQ4MTAxMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzExIyQxIyQ3IyQ2MiQzNjE4MzIjNjEjJDEjJDgjJDgz,편안한민치과의원,17,측두하악관절 자극요법
JDQ4MTAxMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzExIyQxIyQ3IyQ2MiQzNjEwMDIjNDEjJDEjJDQjJDgz,페리오치과의원,17,측두하악관절 자극요법
JDQ4MTAxMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzExIyQxIyQ3IyQ3MiQ0NjEwMDIjNDEjJDEjJDQjJDgz,아시아드치과의원,17,측두하악관절 자극요법
JDQ4MTAxMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzExIyQxIyQ3IyQ3MiQzNjE4MzIjNTEjJDEjJDYjJDgz,노치과의원,17,측두하악관절 자극요법
