암호화요양기호,요양기관명,검색코드,검색코드명
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQyNjE4MzIjNjEjJDEjJDAjJDgz,부민병원,43,관절
JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQzNjE0ODEjNDEjJDEjJDgjJDgz,의료법인 인당의료재단 해운대부민병원,43,관절
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQyIyQ5IyQwMCQyNjE0ODEjNTEjJDEjJDYjJDgz,바로선병원,43,관절
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQ1IyQxMyQ0NjEwMDIjODEjJDEjJDIjJDgz,좋은아침병원,43,관절
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ2MiQzNjEwMDIjNjEjJDEjJDAjJDgz,의료법인 장산의료재단이춘택병원,43,관절
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ3MiQyNjEwMDIjODEjJDEjJDIjJDgz,진주세란병원,43,관절
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ3OSQyNjE0ODEjODEjJDEjJDIjJDgz,연세사랑병원,43,관절
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQxMyQ0NjEwMDIjNjEjJDEjJDgjJDgz,바른세상병원,43,관절
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ3OSQzNjE4MzIjODEjJDEjJDYjJDgz,의료법인고려의료재단부산고려병원,43,관절
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ5OSQzNjE4MzIjNjEjJDEjJDgjJDgz,의료법인 센텀의료재단 부산센텀병원,43,관절
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ5OSQyNjEwMDIjNTEjJDEjJDIjJDgz,의)상원의료재단부평힘찬병원,43,관절
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ3MiQzNjE0ODEjNjEjJDEjJDAjJDgz,순천하나병원,43,관절
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ3MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,부산본병원,43,관절
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQzNjE0ODEjNjEjJDEjJDQjJDgz,씨엠병원,43,관절
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQ3OSQzNjE4MzIjNTEjJDEjJDYjJDgz,국제바로병원,43,관절
JDQ4MTYyMiM1MSMkMSMkOCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQzNjEyMjIjODEjJDEjJDYjJDgz,뿌리병원,43,관절
JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQyNjE4MzIjNTEjJDEjJDIjJDgz,의료법인 인당의료재단 부민병원,43,관절
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQ3OSQyNjEwMDIjODEjJDEjJDYjJDgz,강북연세병원,43,관절
JDQ4MTYyMiM1MSMkMSMkOCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNzEjJDEjJDgjJDgz,의료법인 정산의료재단 효성병원,44,뇌혈관
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjE4MzIjNjEjJDEjJDQjJDgz,에스포항병원,44,뇌혈관
