암호화요양기호,요양기관명,유형코드,유형코드명,일반식 가산여부,산정인원수,치료식 등급
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQwMyQzNjEyMjIjNDEjJDEjJDgjJDgz,의료법인 우리아이들 의료재단 우리아이들병원,1,영양사,Y,2,
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQwMyQzNjEyMjIjNDEjJDEjJDgjJDgz,의료법인 우리아이들 의료재단 우리아이들병원,2,조리사,Y,2,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQyIyQxIyQwMCQyNjE0ODEjNDEjJDEjJDgjJDgz,다남의원,1,영양사,N,0,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQyIyQxIyQwMCQyNjE0ODEjNDEjJDEjJDgjJDgz,다남의원,2,조리사,Y,1,
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ2MiQzNjE0ODEjNDEjJDEjJDgjJDgz,한미병원,1,영양사,Y,2,
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ2MiQzNjE0ODEjNDEjJDEjJDgjJDgz,한미병원,2,조리사,N,1,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQxIyQ4MiQ0NjE0ODEjODEjJDEjJDIjJDgz,기찬마취통증의학과의원,1,영양사,N,0,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQxIyQ4MiQ0NjE0ODEjODEjJDEjJDIjJDgz,기찬마취통증의학과의원,2,조리사,N,0,
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ5OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,닥터김앤박요양병원,1,영양사,Y,2,
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ5OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,닥터김앤박요양병원,2,조리사,Y,2,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzQxIyQxIyQ3IyQ2MiQ0NjEwMDIjNTEjJDEjJDIjJDgz,한빛현요양병원,1,영양사,Y,2,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzQxIyQxIyQ3IyQ2MiQ0NjEwMDIjNTEjJDEjJDIjJDgz,한빛현요양병원,2,조리사,Y,3,2
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ4OSQyNjE4MzIjODEjJDEjJDIjJDgz,의료법인숭민의료재단 초당요양병원,1,영양사,Y,2,
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ4OSQyNjE4MzIjODEjJDEjJDIjJDgz,의료법인숭민의료재단 초당요양병원,2,조리사,Y,2,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzQxIyQxIyQ3IyQ4OSQzNjE0ODEjNDEjJDEjJDQjJDgz,시민요양병원,1,영양사,N,0,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzQxIyQxIyQ3IyQ4OSQzNjE0ODEjNDEjJDEjJDQjJDgz,시민요양병원,2,조리사,N,0,
JDQ4MTYyMiM3MSMkMiMkMCMkMDAkMzgxMTkxIzMxIyQxIyQ3IyQ3OSQ0NjEwMDIjNzEjJDEjJDgjJDgz,위윤철정형외과의원,1,영양사,N,0,
JDQ4MTYyMiM3MSMkMiMkMCMkMDAkMzgxMTkxIzMxIyQxIyQ3IyQ3OSQ0NjEwMDIjNzEjJDEjJDgjJDgz,위윤철정형외과의원,2,조리사,Y,1,
JDQ4MTYyMiM3MSMkMiMkMCMkMDAkMzgxMTkxIzMxIyQxIyQzIyQ3OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,백세의원,1,영양사,N,0,N
JDQ4MTYyMiM3MSMkMiMkMCMkMDAkMzgxMTkxIzMxIyQxIyQzIyQ3OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,백세의원,2,조리사,N,0,N
JDQ4MTAxMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQ5MiQyNjEwMDIjNDEjJDEjJDgjJDgz,배성범정형외과의원,1,영양사,N,0,
JDQ4MTAxMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQ5MiQyNjEwMDIjNDEjJDEjJDgjJDgz,배성범정형외과의원,2,조리사,N,0,
JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQxMyQyNjEwMDIjNjEjJDEjJDAjJDgz,김정주정형외과의원,1,영양사,N,0,N
JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQxMyQyNjEwMDIjNjEjJDEjJDAjJDgz,김정주정형외과의원,2,조리사,N,0,N
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ2MiQzNjE0ODEjNDEjJDEjJDgjJDgz,감청수병원,1,영양사,N,1,N
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ2MiQzNjE0ODEjNDEjJDEjJDgjJDgz,감청수병원,2,조리사,N,1,N
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ5OSQyNjEwMDIjNjEjJDEjJDAjJDgz,솔병원,1,영양사,N,1,
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ5OSQyNjEwMDIjNjEjJDEjJDAjJDgz,솔병원,2,조리사,N,1,
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxNzAyIzUxIyQyIyQ1IyQwMCQzNjEyMjIjNTEjJDEjJDIjJDgz,파티마산부인과의원,1,영양사,N,0,N
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxNzAyIzUxIyQyIyQ1IyQwMCQzNjEyMjIjNTEjJDEjJDIjJDgz,파티마산부인과의원,2,조리사,N,0,N
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzMxIyQxIyQzIyQxMyQzNjEyMjIjNDEjJDEjJDgjJDgz,바른정형외과의원,1,영양사,N,0,
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzMxIyQxIyQzIyQxMyQzNjEyMjIjNDEjJDEjJDgjJDgz,바른정형외과의원,2,조리사,N,0,
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ4OSQzNjE0ODEjNzEjJDEjJDgjJDgz,부림요양병원,1,영양사,Y,2,
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ4OSQzNjE0ODEjNzEjJDEjJDgjJDgz,부림요양병원,2,조리사,Y,2,
JDQ4MTYyMiM2MSMkMSMkNiMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNjEjJDEjJDAjJDgz,의료법인영경의료재단전주병원,1,영양사,Y,3,4
JDQ4MTYyMiM2MSMkMSMkNiMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNjEjJDEjJDAjJDgz,의료법인영경의료재단전주병원,2,조리사,Y,5,1
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5MiQzNjE4MzIjNDEjJDEjJDQjJDgz,의료법인은경의료재단 인창대연요양병원,1,영양사,Y,3,4
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5MiQzNjE4MzIjNDEjJDEjJDQjJDgz,의료법인은경의료재단 인창대연요양병원,2,조리사,Y,3,2
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzMxIyQxIyQ3IyQ4MiQzNjE4MzIjNTEjJDEjJDYjJDgz,지엠제일산부인과의원,1,영양사,N,0,N
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzMxIyQxIyQ3IyQ4MiQzNjE4MzIjNTEjJDEjJDYjJDgz,지엠제일산부인과의원,2,조리사,N,0,N
JDQ4MTYyMiM3MSMkMiMkMCMkMDAkNDgxMzUxIzExIyQxIyQ3IyQ3MiQzNjE4MzIjNjEjJDEjJDgjJDgz,달려라정형외과의원,1,영양사,N,0,
JDQ4MTYyMiM3MSMkMiMkMCMkMDAkNDgxMzUxIzExIyQxIyQ3IyQ3MiQzNjE4MzIjNjEjJDEjJDgjJDgz,달려라정형외과의원,2,조리사,Y,2,
JDQ4MTYyMiM2MSMkMSMkMiMkMTMkNDgxOTYxIzExIyQxIyQzIyQ2MiQyNjE0ODEjNDEjJDEjJDgjJDgz,산돌한의원,1,영양사,N,0,
JDQ4MTYyMiM2MSMkMSMkMiMkMTMkNDgxOTYxIzExIyQxIyQzIyQ2MiQyNjE0ODEjNDEjJDEjJDgjJDgz,산돌한의원,2,조리사,N,0,
JDQ4MTYyMiM1MSMkMSMkOCMkOTkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjEwMDIjNjEjJDEjJDQjJDgz,청주현대병원,1,영양사,Y,2,N
JDQ4MTYyMiM1MSMkMSMkOCMkOTkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjEwMDIjNjEjJDEjJDQjJDgz,청주현대병원,2,조리사,Y,2,N
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzIxIyQxIyQ5IyQ4MiQ0NjE0ODEjNjEjJDEjJDAjJDgz,아이미즈산부인과의원,1,영양사,N,0,N
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzIxIyQxIyQ5IyQ4MiQ0NjE0ODEjNjEjJDEjJDAjJDgz,아이미즈산부인과의원,2,조리사,N,0,N
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzUxIyQyIyQ1IyQwMCQzNjE0ODEjNTEjJDEjJDIjJDgz,일가한의원,1,영양사,N,0,N
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzUxIyQyIyQ1IyQwMCQzNjE0ODEjNTEjJDEjJDIjJDgz,일가한의원,2,조리사,Y,1,N
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQxMyQzNjEyMjIjNDEjJDEjJDgjJDgz,미애로여성의원,1,영양사,N,0,N
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQxMyQzNjEyMjIjNDEjJDEjJDgjJDgz,미애로여성의원,2,조리사,N,0,N
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ5MiQyNjEyMjIjODEjJDEjJDYjJDgz,고려요양병원,1,영양사,Y,2,N
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ5MiQyNjEyMjIjODEjJDEjJDYjJDgz,고려요양병원,2,조리사,Y,5,1
JDQ4MTYyMiM2MSMkMSMkNiMkOTkkMzgxMzUxIzExIyQyIyQ3IyQwMCQyNjE0ODEjNjEjJDEjJDAjJDgz,익산제일병원,1,영양사,N,1,
JDQ4MTYyMiM2MSMkMSMkNiMkOTkkMzgxMzUxIzExIyQyIyQ3IyQwMCQyNjE0ODEjNjEjJDEjJDAjJDgz,익산제일병원,2,조리사,N,0,
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ4MiQyNjE4MzIjNDEjJDEjJDgjJDgz,강남병원,1,영양사,N,1,
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ4MiQyNjE4MzIjNDEjJDEjJDgjJDgz,강남병원,2,조리사,Y,2,
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzMxIyQxIyQ3IyQ5OSQzNjE4MzIjNTEjJDEjJDIjJDgz,시너지정형외과의원,1,영양사,N,0,N
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzMxIyQxIyQ3IyQ5OSQzNjE4MzIjNTEjJDEjJDIjJDgz,시너지정형외과의원,2,조리사,N,0,N
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQ4OSQzNjEyMjIjNzEjJDEjJDgjJDgz,서재곤링커병원,1,영양사,N,1,N
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQ4OSQzNjEyMjIjNzEjJDEjJDgjJDgz,서재곤링커병원,2,조리사,Y,2,N
JDQ4MTYyMiM2MSMkMSMkNiMkMTMkMzgxNzAyIzUxIyQxIyQ1IyQxMyQyNjEyMjIjNTEjJDEjJDYjJDgz,군산마음한의원,1,영양사,N,0,
JDQ4MTYyMiM2MSMkMSMkNiMkMTMkMzgxNzAyIzUxIyQxIyQ1IyQxMyQyNjEyMjIjNTEjJDEjJDYjJDgz,군산마음한의원,2,조리사,N,0,
